"","feature","mean(|SHAP value|)","mean(|SHAP value|) standard error","Predator"
"1","Foraging stratum [arboreal]",0,0,"Vulpes vulpes"
"2","Foraging stratum [aerial]",0.00122562063734845,0.00137646763549611,"Vulpes vulpes"
"3","Maint diet [vertebrate]",0.018816925032452,0.00352870461815238,"Vulpes vulpes"
"4","Maint diet [omnivore]",0,0,"Vulpes vulpes"
"5","Maint diet [multiple animals]",0,0,"Vulpes vulpes"
"6","Maint diet [herbivore]",0.0186629574866466,0.00754169797572086,"Vulpes vulpes"
"7","Activity cycle [diurnal only]",0,0,"Vulpes vulpes"
"8","Activity cycle [other]",0.104180917802733,0.0163364775317792,"Vulpes vulpes"
"9","Habitat",0.232075219115542,0.0144619605941333,"Vulpes vulpes"
"10","Activity cycle [nocturnal only]",0.066446469156823,0.0112163224328958,"Vulpes vulpes"
"11","Brain mass (g)",0.124016530882751,0.00997049819977331,"Vulpes vulpes"
"12","Trophic level",0.544626438037171,0.0258156494073686,"Vulpes vulpes"
"13","Adult body mass (g)",0.225954477422529,0.0138843415101551,"Vulpes vulpes"
"14","Litter size",0.339153057328461,0.0245868900563481,"Vulpes vulpes"
"15","Maint diet [invertebrate]",0.0335205841904291,0.00817695720965553,"Vulpes vulpes"
"16","Foraging stratum [scansorial]",0.0154412499281794,0.00204846898972562,"Vulpes vulpes"
"17","Foraging stratum [ground level]",0.0432771359686363,0.00426054797153474,"Vulpes vulpes"
"18","Foraging stratum [arboreal]",0,0,"Lynx lynx"
"19","Foraging stratum [aerial]",7.47850471286983e-05,0.00011800881387576,"Lynx lynx"
"20","Maint diet [vertebrate]",0.0103757714156096,0.00270992527618163,"Lynx lynx"
"21","Maint diet [omnivore]",0,0,"Lynx lynx"
"22","Maint diet [multiple animals]",0,0,"Lynx lynx"
"23","Maint diet [herbivore]",0.0797920978011299,0.0143741409512389,"Lynx lynx"
"24","Activity cycle [diurnal only]",0,0,"Lynx lynx"
"25","Maint diet [invertebrate]",0.03859513944576,0.0124973665745855,"Lynx lynx"
"26","Activity cycle [nocturnal only]",0.271514716064787,0.0271645363371447,"Lynx lynx"
"27","Habitat",0.131604734083011,0.013711646844813,"Lynx lynx"
"28","Litter size",0.27014318867563,0.0197262360840469,"Lynx lynx"
"29","Brain mass (g)",0.346017531837999,0.035565525057704,"Lynx lynx"
"30","Activity cycle [other]",0.202796310698924,0.0285661284329075,"Lynx lynx"
"31","Trophic level",0.867806817965467,0.04660355539601,"Lynx lynx"
"32","Adult body mass (g)",0.788818654731244,0.0347163681385977,"Lynx lynx"
"33","Foraging stratum [ground level]",0.040182534994753,0.00361517255408263,"Lynx lynx"
"34","Foraging stratum [scansorial]",0.0312307441538131,0.00224346940876104,"Lynx lynx"
"35","Foraging stratum [arboreal]",0.000115295729569053,0.000123815882330473,"Felis silvestris"
"36","Foraging stratum [aerial]",0.00286349977122247,0.00332285529907825,"Felis silvestris"
"37","Maint diet [vertebrate]",0.00685016233778813,0.00224770806738303,"Felis silvestris"
"38","Maint diet [omnivore]",0,0,"Felis silvestris"
"39","Maint diet [multiple animals]",0,0,"Felis silvestris"
"40","Maint diet [invertebrate]",0.0221223709406694,0.00645083934594889,"Felis silvestris"
"41","Activity cycle [diurnal only]",0,0,"Felis silvestris"
"42","Activity cycle [other]",0.301954608238345,0.0295985767747596,"Felis silvestris"
"43","Brain mass (g)",0.104877670927747,0.0102831197264809,"Felis silvestris"
"44","Litter size",0.35198350030678,0.0261244684703368,"Felis silvestris"
"45","Trophic level",0.207536320613936,0.0216007592008505,"Felis silvestris"
"46","Maint diet [herbivore]",0.393657198375209,0.0329145849726891,"Felis silvestris"
"47","Habitat",0.158073020322003,0.0143937480847192,"Felis silvestris"
"48","Adult body mass (g)",0.506166483243493,0.0303454587607799,"Felis silvestris"
"49","Activity cycle [nocturnal only]",0.241307050894716,0.0257304101554147,"Felis silvestris"
"50","Foraging stratum [ground level]",0.0286676344531286,0.00264956925890036,"Felis silvestris"
"51","Foraging stratum [arboreal]",0.000236326031973892,0.000348931204662158,"Martes martes"
"52","Foraging stratum [aerial]",0.000121440391264418,0.000118328128489847,"Martes martes"
"53","Maint diet [vertebrate]",0.00635164347911144,0.00216310789944655,"Martes martes"
"54","Maint diet [omnivore]",0,0,"Martes martes"
"55","Maint diet [multiple animals]",0,0,"Martes martes"
"56","Activity cycle [diurnal only]",0,0,"Martes martes"
"57","Brain mass (g)",0.145897228383069,0.0132501084918204,"Martes martes"
"58","Maint diet [herbivore]",0.0990165829767172,0.0180131023422195,"Martes martes"
"59","Maint diet [invertebrate]",0.0148128622903838,0.003649288401551,"Martes martes"
"60","Activity cycle [nocturnal only]",0.0951039173077408,0.0116706455572484,"Martes martes"
"61","Habitat",0.0799191403143889,0.00779536082939926,"Martes martes"
"62","Adult body mass (g)",0.196169783138991,0.0168363633955617,"Martes martes"
